Date,Open,High,Low,Close,Adj Close,Volume
1986-12-29,2568.300049,2568.300049,2540.100098,2540.100098,2540.100098,0
1987-01-05,2552.399902,2607.100098,2552.399902,2561.699951,2561.699951,0
1987-01-12,2614.899902,2614.899902,2542.600098,2542.600098,2542.600098,0
1987-01-19,2460.500000,2536.899902,2449.899902,2499.399902,2499.399902,0
1987-01-26,2484.399902,2553.300049,2484.399902,2553.300049,2553.300049,0
1987-02-02,2585.199951,2673.600098,2585.199951,2673.600098,2673.600098,0
1987-02-09,2713.699951,2754.699951,2694.899902,2740.500000,2740.500000,0
1987-02-16,2766.100098,2827.399902,2766.100098,2827.399902,2827.399902,0
1987-02-23,2879.000000,2879.000000,2843.600098,2877.899902,2877.899902,0
1987-03-02,2894.300049,2939.100098,2798.399902,2798.600098,2798.600098,0
1987-03-09,2820.399902,2820.399902,2721.199951,2721.199951,2721.199951,0
1987-03-16,2669.600098,2780.600098,2629.300049,2780.600098,2780.600098,0
1987-03-23,2813.399902,2831.500000,2783.100098,2798.699951,2798.699951,0
1987-03-30,2774.899902,2774.899902,2680.000000,2680.000000,2680.000000,0
1987-04-06,2664.699951,2785.500000,2664.699951,2766.399902,2766.399902,0
1987-04-13,2708.899902,2721.100098,2668.399902,2721.100098,2721.100098,0
1987-04-20,2713.399902,2719.899902,2707.600098,2707.600098,2707.600098,0
1987-04-27,2636.500000,2685.399902,2589.500000,2685.399902,2685.399902,0
1987-05-04,2695.800049,2805.100098,2695.800049,2805.100098,2805.100098,0
1987-05-11,2846.899902,2872.199951,2833.500000,2872.199951,2872.199951,0
1987-05-18,2875.399902,2897.600098,2871.000000,2897.600098,2897.600098,0
1987-05-25,2897.600098,2950.800049,2897.600098,2950.800049,2950.800049,0
1987-06-01,2934.100098,3064.300049,2934.100098,3064.300049,3064.300049,0
1987-06-08,3068.000000,3129.899902,3068.000000,3129.899902,3129.899902,0
1987-06-15,3170.899902,3178.600098,3133.699951,3165.600098,3165.600098,0
1987-06-22,3131.199951,3179.000000,3110.399902,3138.699951,3138.699951,0
1987-06-29,3152.000000,3229.199951,3152.000000,3226.000000,3226.000000,0
1987-07-06,3220.699951,3251.399902,3207.199951,3207.199951,3207.199951,0
1987-07-13,3216.100098,3342.100098,3216.100098,3342.100098,3342.100098,0
1987-07-20,3386.100098,3386.100098,3343.600098,3343.600098,3343.600098,0
1987-07-27,3346.899902,3479.199951,3337.500000,3479.199951,3479.199951,0
1987-08-03,3514.300049,3536.199951,3498.000000,3536.199951,3536.199951,0
1987-08-10,3543.800049,3557.399902,3512.199951,3512.199951,3512.199951,0
1987-08-17,3510.699951,3510.699951,3408.000000,3446.600098,3446.600098,0
1987-08-24,3391.300049,3611.699951,3391.300049,3611.699951,3611.699951,0
1987-08-31,3644.300049,3654.500000,3635.899902,3654.500000,3654.500000,0
1987-09-07,3646.300049,3660.500000,3577.600098,3660.500000,3660.500000,0
1987-09-14,3649.800049,3650.000000,3571.399902,3650.000000,3650.000000,0
1987-09-21,3668.000000,3840.100098,3668.000000,3840.100098,3840.100098,0
1987-09-28,3884.699951,3949.699951,3859.500000,3902.699951,3902.699951,0
1987-10-05,3947.000000,3947.000000,3882.399902,3882.399902,3882.399902,0
1987-10-12,3860.600098,3912.199951,3752.600098,3783.199951,3783.199951,0
1987-10-19,3665.699951,3665.699951,3362.399902,3362.399902,3362.399902,0
1987-10-26,2517.399902,2540.800049,2202.800049,2204.500000,2204.500000,0
1987-11-02,2224.800049,2240.000000,1960.900024,2113.699951,2113.699951,0
1987-11-09,2142.899902,2253.699951,2017.000000,2226.699951,2226.699951,0
1987-11-16,2263.300049,2317.500000,2198.100098,2214.699951,2214.699951,0
1987-11-23,2224.600098,2224.600098,2134.800049,2194.000000,2194.000000,0
1987-11-30,2189.300049,2189.300049,1986.199951,1994.199951,1994.199951,0
1987-12-07,1950.500000,2032.500000,1894.900024,1989.599976,1989.599976,0
1987-12-14,2032.000000,2180.500000,2032.000000,2180.500000,2180.500000,0
1987-12-21,2247.399902,2379.100098,2247.399902,2379.100098,2379.100098,0
1987-12-28,2305.699951,2318.399902,2263.000000,2302.800049,2302.800049,0
1988-01-04,2238.100098,2474.399902,2238.100098,2460.699951,2460.699951,0
1988-01-11,2414.899902,2454.800049,2383.800049,2429.800049,2429.800049,0
1988-01-18,2508.600098,2512.199951,2409.800049,2422.399902,2422.399902,0
1988-01-25,2418.100098,2426.100098,2392.300049,2409.699951,2409.699951,0
1988-02-01,2374.000000,2377.399902,2292.600098,2292.600098,2292.600098,0
1988-02-08,2252.600098,2292.000000,2223.000000,2287.199951,2287.199951,0
1988-02-15,2312.300049,2328.000000,2301.800049,2328.000000,2328.000000,0
1988-02-22,2345.699951,2387.000000,2328.600098,2383.899902,2383.899902,0
1988-02-29,2413.699951,2472.399902,2413.699951,2472.399902,2472.399902,0
1988-03-07,2478.199951,2598.300049,2470.399902,2595.500000,2595.500000,0
1988-03-14,2612.600098,2618.399902,2553.899902,2607.600098,2607.600098,0
